City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ust-Nera,RU,2021-10-15 03:54:21,64.5667,143.2,20.21,66,100,5.08
68,Thompson,CA,2021-10-15 03:54:22,55.7435,-97.8558,35.76,100,90,8.05
69,Onega,RU,2021-10-15 03:54:22,63.9061,38.1404,34.34,94,49,6.71
70,Hamilton,US,2021-10-15 03:54:22,39.1834,-84.5333,73.89,85,91,4.36
71,Kuryk,KZ,2021-10-15 03:54:23,43.2,51.65,57.54,28,95,10.27
72,Gobabis,NA,2021-10-15 03:54:23,-22.45,18.9667,62.24,22,6,7.54
73,Kungurtug,RU,2021-10-15 03:54:24,50.5994,97.5228,28.67,53,7,1.52
74,Hermanus,ZA,2021-10-15 03:54:24,-34.4187,19.2345,55.9,79,52,11.01
75,Halifax,CA,2021-10-15 03:51:29,44.6453,-63.5724,55.47,92,58,1.01
76,Guerrero Negro,MX,2021-10-15 03:54:25,27.9769,-114.0611,68.02,66,0,10.18
77,Labuan,MY,2021-10-15 03:54:25,5.2767,115.2417,91.11,70,20,1.99
78,Longyearbyen,SJ,2021-10-15 03:53:23,78.2186,15.6401,31.84,64,75,17.27
79,Butaritari,KI,2021-10-15 03:54:26,3.0707,172.7902,82.49,70,36,16.26
80,Mar Del Plata,AR,2021-10-15 03:54:26,-38.0023,-57.5575,53.13,27,0,8.99
81,Faanui,PF,2021-10-15 03:54:26,-16.4833,-151.75,80.65,72,82,13.89
82,Phaphund,IN,2021-10-15 03:54:27,26.6,79.4667,82.85,37,4,4.47
83,Les Escoumins,CA,2021-10-15 03:54:27,48.1111,-69.0236,45.16,94,93,0.83
84,Los Llanos De Aridane,ES,2021-10-15 03:54:28,28.6585,-17.9182,65.95,68,40,9.22
85,Pervomayskiy,RU,2021-10-15 03:54:28,53.2485,40.2871,39.13,75,48,16.71
86,Asau,RO,2021-10-15 03:54:29,46.4333,26.4,41.76,93,100,1.07
87,Orneta,PL,2021-10-15 03:54:29,54.1148,20.1333,50.56,92,100,14.36
88,Kapaa,US,2021-10-15 03:54:29,22.0752,-159.319,75.18,75,62,5.01
89,Petropavlovsk-Kamchatskiy,RU,2021-10-15 03:54:30,53.0452,158.6483,45.19,100,75,6.71
90,Alofi,NU,2021-10-15 03:54:30,-19.0595,-169.9187,80.49,57,20,5.75
91,Oussouye,SN,2021-10-15 03:54:31,12.485,-16.5469,78.98,82,15,5.5
92,Goya,AR,2021-10-15 03:54:31,-29.14,-59.2626,61.0,82,86,16.84
93,Jacqueville,CI,2021-10-15 03:54:31,5.2052,-4.4146,80.51,87,94,5.79
94,Sisimiut,GL,2021-10-15 03:54:32,66.9395,-53.6735,36.25,97,100,4.05
95,Port Alfred,ZA,2021-10-15 03:53:34,-33.5906,26.891,63.07,76,100,18.28
96,Qaanaaq,GL,2021-10-15 03:54:32,77.484,-69.3632,11.7,83,73,8.66
97,Kashi,CN,2021-10-15 03:54:33,39.4547,75.9797,52.81,22,0,6.71
98,Cap Malheureux,MU,2021-10-15 03:54:34,-19.9842,57.6142,75.47,72,7,5.99
99,Lavrentiya,RU,2021-10-15 03:54:34,65.5833,-171.0,28.65,81,100,9.06
100,Ajdabiya,LY,2021-10-15 03:54:35,30.7554,20.2263,70.74,64,12,11.34
101,Izhma,RU,2021-10-15 03:54:35,65.0083,53.9113,41.59,98,100,3.69
102,Genhe,CN,2021-10-15 03:54:36,50.7833,121.5167,25.16,82,100,12.55
103,Cooma,AU,2021-10-15 03:54:36,-36.2333,149.1333,55.17,58,75,14.97
104,Airai,TL,2021-10-15 03:54:05,-8.9266,125.4092,80.38,46,78,1.63
105,Komsomolskiy,UZ,2021-10-15 03:54:37,40.4272,71.7189,57.92,38,0,4.61
106,Moyale,KE,2021-10-15 03:54:37,3.5167,39.0584,68.43,69,100,10.42
107,Bjornevatn,NO,2021-10-15 03:54:38,69.6672,29.9847,37.02,100,90,12.66
108,Severo-Kurilsk,RU,2021-10-15 03:54:39,50.6789,156.125,46.35,99,100,6.29
109,Tasiilaq,GL,2021-10-15 03:54:39,65.6145,-37.6368,34.18,54,100,8.48
110,Khatanga,RU,2021-10-15 03:54:39,71.9667,102.5,7.39,89,94,5.08
111,Cape Town,ZA,2021-10-15 03:54:40,-33.9258,18.4232,58.08,80,75,5.01
112,Lebedyn,UA,2021-10-15 03:54:40,50.5852,34.4849,38.01,83,36,5.82
113,Oceanside,US,2021-10-15 03:52:02,33.1959,-117.3795,69.03,82,1,1.01
114,Yelizovo,RU,2021-10-15 03:54:41,53.1873,158.3805,46.54,100,75,6.71
115,Araouane,ML,2021-10-15 03:54:41,18.9048,-3.5265,80.04,11,7,11.79
116,Port-Gentil,GA,2021-10-15 03:54:42,-0.7193,8.7815,78.66,84,100,11.07
117,Mogadishu,SO,2021-10-15 03:54:42,2.0371,45.3438,78.67,83,40,12.66
118,Tevaitoa,PF,2021-10-15 03:54:43,-16.7833,-151.5,80.64,71,93,13.04
119,Leningradskiy,RU,2021-10-15 03:54:43,69.3833,178.4167,18.54,95,100,5.77
120,Wajid,SO,2021-10-15 03:54:43,3.8093,43.2471,74.5,69,70,14.09
121,Ilulissat,GL,2021-10-15 03:54:44,69.2167,-51.1,32.14,99,100,3.13
122,Sambava,MG,2021-10-15 03:54:44,-14.2667,50.1667,74.26,82,21,11.21
123,Wukari,NG,2021-10-15 03:54:45,7.85,9.7833,74.16,91,100,4.85
124,Kirovsk,UA,2021-10-15 03:54:45,48.6375,38.6428,43.34,72,100,0.51
125,Itaobim,BR,2021-10-15 03:54:46,-16.5667,-41.8333,73.51,80,93,2.28
126,Ulaangom,MN,2021-10-15 03:54:46,49.9811,92.0667,37.87,59,32,3.22
127,Port Hedland,AU,2021-10-15 03:54:47,-20.3167,118.5667,95.05,8,1,11.5
128,Nanortalik,GL,2021-10-15 03:54:47,60.1432,-45.2371,40.68,56,76,4.34
129,Souillac,MU,2021-10-15 03:54:47,-20.5167,57.5167,75.36,73,40,11.5
130,Narsaq,GL,2021-10-15 03:54:48,60.9167,-46.05,35.85,47,12,5.17
131,Verkhnyaya Inta,RU,2021-10-15 03:54:49,65.9811,60.3094,41.18,93,100,8.55
132,Mamallapuram,IN,2021-10-15 03:54:49,12.6264,80.1722,87.85,73,100,4.25
133,Clyde River,CA,2021-10-15 03:54:50,70.4692,-68.5914,23.25,70,30,8.52
134,Kimbe,PG,2021-10-15 03:54:50,-5.5502,150.1429,88.09,64,54,6.98
135,Samarai,PG,2021-10-15 03:54:50,-10.6167,150.6667,82.53,75,98,3.76
136,Chulman,RU,2021-10-15 03:54:51,56.8479,124.9104,18.95,62,100,9.91
137,Itarema,BR,2021-10-15 03:54:51,-2.9248,-39.9167,78.76,83,35,14.14
138,Breves,BR,2021-10-15 03:54:52,-1.6822,-50.4803,75.96,79,65,6.08
139,Sinjai,ID,2021-10-15 03:54:52,-5.1241,120.253,86.72,68,70,9.13
140,Tuatapere,NZ,2021-10-15 03:54:52,-46.1333,167.6833,52.79,65,51,10.58
141,Sri Aman,MY,2021-10-15 03:54:53,1.2376,111.4621,89.65,70,20,3.44
142,Zhezkazgan,KZ,2021-10-15 03:54:53,47.8043,67.7144,45.64,59,0,13.0
143,Tiksi,RU,2021-10-15 03:54:54,71.6872,128.8694,11.44,91,95,7.31
144,Ola,RU,2021-10-15 03:54:54,59.5833,151.2833,30.54,46,85,16.75
145,Arroyo,ES,2021-10-15 03:54:55,41.6096,-4.7969,56.19,63,0,5.75
146,Hofn,IS,2021-10-15 03:54:55,64.2539,-15.2082,42.67,53,55,12.28
147,Bathsheba,BB,2021-10-15 03:54:56,13.2167,-59.5167,81.21,83,40,14.97
148,Hassleholm,SE,2021-10-15 03:54:56,56.1591,13.7664,53.38,88,100,15.1
149,Sitka,US,2021-10-15 03:54:57,57.0531,-135.33,40.89,86,93,3.56
150,General Pico,AR,2021-10-15 03:54:57,-35.6566,-63.7568,44.73,29,0,7.94
151,Georgetown,MY,2021-10-15 03:54:58,5.4112,100.3354,89.53,73,40,3.0
152,Hasaki,JP,2021-10-15 03:54:58,35.7333,140.8333,79.29,61,8,6.98
153,Zhangye,CN,2021-10-15 03:54:59,38.9342,100.4517,53.42,26,34,2.62
154,Vilhena,BR,2021-10-15 03:54:59,-12.7406,-60.1458,73.72,77,88,3.89
155,Vogar,IS,2021-10-15 03:54:59,63.9832,-22.3874,44.64,81,75,21.85
156,Baruun-Urt,MN,2021-10-15 03:55:00,46.6806,113.2792,25.47,24,0,21.61
157,Lebu,CL,2021-10-15 03:55:00,-37.6167,-73.65,45.03,74,2,6.6
158,Luderitz,NA,2021-10-15 03:55:01,-26.6481,15.1594,54.03,89,37,12.21
159,Kabinda,CD,2021-10-15 03:55:02,-6.1333,24.4833,67.32,88,100,3.02
160,Bowen,AU,2021-10-15 03:55:02,-20.0167,148.2333,93.42,70,51,19.15
161,Lodja,CD,2021-10-15 03:55:03,-3.4833,23.4333,67.62,99,80,0.76
162,Riyadh,SA,2021-10-15 03:52:05,24.6877,46.7219,68.14,21,0,3.44
163,Chuy,UY,2021-10-15 03:55:04,-33.6971,-53.4616,60.75,91,100,3.49
164,Cockburn Town,TC,2021-10-15 03:55:05,21.4612,-71.1419,82.17,78,75,11.52
165,Avarua,CK,2021-10-15 03:55:06,-21.2078,-159.775,78.85,65,5,4.61
166,Gizo,SB,2021-10-15 03:55:06,-8.103,156.8419,85.24,68,42,4.85
167,Padang,ID,2021-10-15 03:55:07,-0.9492,100.3543,87.85,64,87,5.61
168,Westport,US,2021-10-15 03:55:07,41.1415,-73.3579,67.17,90,60,5.99
169,Green River,US,2021-10-15 03:55:08,41.5286,-109.4662,33.15,65,12,8.01
170,Vardo,NO,2021-10-15 03:55:08,70.3705,31.1107,37.6,98,100,14.67
171,Isla Vista,US,2021-10-15 03:55:08,34.4133,-119.861,67.82,56,0,3.78
172,Cayenne,GF,2021-10-15 03:55:09,4.9333,-52.3333,78.1,86,0,0.0
173,Santiago Del Estero,AR,2021-10-15 03:55:09,-27.7951,-64.2615,55.8,56,48,21.39
174,Eirunepe,BR,2021-10-15 03:55:10,-6.6603,-69.8736,77.09,79,72,2.8
175,Pombas,CV,2021-10-15 03:55:10,17.1503,-25.0201,74.98,74,13,12.01
176,Severo-Yeniseyskiy,RU,2021-10-15 03:55:10,60.3725,93.0408,26.82,79,100,14.72
177,Ponta Delgada,PT,2021-10-15 03:55:11,37.7333,-25.6667,72.32,88,75,18.41
178,Saint-Pierre,RE,2021-10-15 03:55:11,-21.3393,55.4781,79.57,73,20,2.3
179,Lyuban,BY,2021-10-15 03:55:12,52.7985,28.0048,38.98,78,90,8.39
180,Dalby,AU,2021-10-15 03:55:12,-27.1833,151.2667,80.98,18,0,5.99
181,Santo Antonio De Jesus,BR,2021-10-15 03:55:12,-12.9689,-39.2614,70.03,99,39,2.35
182,Sungaipenuh,ID,2021-10-15 03:55:13,-2.0833,101.3833,80.78,55,94,3.44
183,Poya,NC,2021-10-15 03:55:13,-21.35,165.15,75.83,66,99,7.2
184,Tubuala,PA,2021-10-15 03:55:14,9.5167,-79.0333,80.71,85,100,5.5
185,Poum,NC,2021-10-15 03:55:14,-20.2333,164.0167,75.25,71,11,12.41
186,Kyrylivka,UA,2021-10-15 03:55:15,46.3759,35.3675,51.66,69,95,12.08
187,Arraial Do Cabo,BR,2021-10-15 03:55:15,-22.9661,-42.0278,72.81,93,72,21.85
188,Yeppoon,AU,2021-10-15 03:55:15,-23.1333,150.7333,92.98,61,97,12.95
189,Tigil,RU,2021-10-15 03:55:16,57.8,158.6667,33.73,79,100,11.41
